LastUpdate,Size,Version,Name,Rating,Downloads,andriodRequirements,Permissions,DeveloperLink,ratingCount,Developer,Description
9 September 2016, 9.5M  , 1.2.14  ,JioMoney Wallet,4.3," 5,000,000 - 10,000,000 ",     4.1 and up   ,"read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping","https://www.google.com/url?q=https://www.jiomoney.com/&sa=D&usg=AFQjCNF4yxIM0dsexuXOAa-MKw2_pYJdtA,mailto:care@jiomoney.com","14,081",Reliance Payment Solutions Ltd.,"Soon, JioMoney will be accepted by thousands of physical stores and shops across India, thus expanding your digital money’s reach. ,JioMoney is a zip-zap-zoom experience. You can execute a transaction in a breeze, with the same ease and convenience of receiving a call on your handset. And it is as fast too – a typical transaction is completed within a few seconds.,With JioMoney, you get these unique advantages:,•	Payment from and for the entire Reliance ecosystem – Reliance Retail, Digital Express, Reliance Fresh, Reliance Jewels, and other Reliance retail businesses,•	Deep market penetration – Right from a mega mall to a neighborhood store,•	Fast and convenient barcode scanning for physical merchants,•	Easy transfer of JioMoney balance into your bank,Discover JioMoney. Rediscover digital money."
28 August 2016,  Varies with device ,  Varies with device ,ICICI Mobile Banking - iMobile,4.1," 5,000,000 - 10,000,000 ",  Varies with device   ,"retrieve running apps,find accounts on the device
add or remove accounts,read calendar events plus confidential information
add or modify calendar events and send emails to guests without owners' knowledge,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read call log
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
create accounts and set passwords
full network access
use accounts on the device
control vibration
prevent device from sleeping
set an alarm","https://www.google.com/url?q=http://www.icicibank.com&sa=D&usg=AFQjCNFRKxK_EcMwhMzaeT-rV2-cbfl9mg,mailto:mobileapps@icicibank.com","166,587",ICICI Bank Ltd.,"iMobile, the most comprehensive and secure Mobile Banking application, offers over 100 banking services on your mobile.,The features of the new iMobile are:,View and transact from all your accounts including Loans, PPF, iWish, Insurance, Cards and Deposits,Check your bank balance, view & email detailed statement and view passbook on your mobile,Transfer funds to an account or to contact no or email id,Send cash through ICICI Bank’s Cardless Cash facility,Transact superfast using Favourite feature. By tagging a transaction as favorite, you can quickly access and complete your transactions like mobile recharge or fund transfer,Connect directly to ICICI Bank Phone Banking Officer from your mobile phone application,Track your deliverables,Open FD – Open FDs, RDs or iWish deposits,Get personalized offers on your mobile,Access and manage Life Insurance policies,Service At Your Convenience: Avail banking services from the comfort of your home. You can locate an ATM, stop or check status of your cheque, order a cheque book, track your service requests and more., ,Now you can also view the following details on your Smart watch by using iWear - ICICI Bank's Android Wear Banking application:,• Information about your Bank and Credit Card accounts,• Balance details and last 3 transactions,iWear is a companion app that works only when user has downloaded Android Wear to their mobile devices.,iWear offers banking and informational services to make a simplified banking experience as never before.,For more details on ICICI Bank Mobile Banking visit http://www.icicibank.com/mobile-banking/index.html.,Legal Terms and conditions: http://www.icicibank.com/terms-condition/terms-and-conditions.page?,Now NRI Customers can also use iMobile App, More details about iMobile for NRI here: http://www.icicibank.com/nri-banking/mobile-banking/imobile.page? ,For any feedback, queries or issues pertaining to iMobile application please write to mobileapps@icicibank.com"
21 October 2015, 8.2M  , 2.0.1  ,State Bank Freedom,4.1," 1,000,000 - 5,000,000 ",     2.3 and up   ,"read your contacts,read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read call log
read phone status and identity,read phone status and identity,view network connections
full network access","https://www.google.com/url?q=https://www.sbi.co.in/portal/web/personal-banking/mobile-banking&sa=D&usg=AFQjCNGA62AdKZeene3aA95je6_PmMHwPA,mailto:mb.support@sbi.co.in","28,516",State Bank of India,"Note: Existing customers will not be able to use the old Freedom application once they start using this version.,Away from home, balance enquiries can be made and/or money sent to the loved ones or bills can be paid anytime 24x7!!! That is what State Bank FreedoM offers - convenient, simple, secure, anytime and anywhere banking.,Registration Process:,Step 1: Download State Bank Freedom application from here.,Step 2: Use the 'Register' option and follow the instructions.  You can also obtain User ID and MPIN by sending sms MBREG to 9223440000.,Step 3: Complete registration process instantaneously by visiting State Bank ATM / Branch or Internet Banking,   Option 1: Activate using State Bank ATM-cum-Debit card at any State Bank ATM. ,                 Choose 'Mobile Registration > Mobile Banking Registration > Registration',                 Enter your 10 digit mobile number, which should be already registered with the Bank.,   Option 2: Submit registration form at the Home Branch for immediate activation.,   Option 3: Internet Banking customers of State Bank of India can complete the registration process through OnlineSBI.,Features:,* Funds transfer (within Bank or other Bank's account),* Immediate Mobile Payment Services (IMPS) : Fund Transfer, Merchant Payments 24 x 7,* Enquiry Services (Account Information, Mini statement, Balance Enquiry),* Instant opening / closure of Fixed / Recurring Deposits,* Cheque Book request,* Bill Payments (Utility bills, Credit Cards, Insurance premium), Donations, Subscriptions,* Mobile Top up,* M-Commerce (DTH Recharge of Tatasky, BigTV, SunDirect, DishTV, DigitalTV and Videocon d2h connections, SBI Life insurance premium, etc.),* Postpaid Bill Payments,* Booking of train tickets over the IRCTC portal through IMPS,* ATM / Branch Locator"
22 September 2016, 15M  , 4.4  ,Pockets–Wallet with card & UPI,4.1," 1,000,000 - 5,000,000 ",     4.1 and up   ,"find accounts on the device,find accounts on the device
read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
disable your screen lock
full network access
control Near-Field Communication
run at startup
use accounts on the device
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.icicibank.com/pockets&sa=D&usg=AFQjCNHK21Va4olbXA68J05L2Wt9c9zssA,mailto:pockets@icicibank.com,https://www.google.com/url?q=http://www.icicibank.com&sa=D&usg=AFQjCNFRKxK_EcMwhMzaeT-rV2-cbfl9mg","81,420",ICICI Bank Ltd.,": Introducing payments through Unified Payment Interface (UPI). You can now transact (send money, collect money, respond to pay requests) using UPI and manage your Virtual Payment Address, or VPA (for example abc@pockets) from the Pockets app. Hurry, reserve yourname@pockets as your VPA!, – The Pockets pre-paid wallet is a VISA card, which can be used to shop online on websites such as Amazon, Snapdeal, Flipkart, Ebay, Myntra. You can even get a physical card for payments at shops! Use it for small value payments without disclosing your debit/credit card details.,: In store payments using NFC Touch & pay, UPI and mVISA QR code., , – Pockets is the first app in India to enable in-store contactless payments by just waving your smartphone near Near Field Communication (NFC) enabled merchant terminals. It leverages the Host Card Emulation (HCE) technology to offer this solution., – Make secure cashless payments by scanning mVISA QR codes or UPI QR codes at merchant locations without the need to swipe a card., - Transfer funds instantly and securely to bank accounts and your contacts (via mobile number, email, WhatsApp, Google+). You can also request money from other Pockets users.,: Pay and collect money from anyone instantly using Unified Payment Interface (UPI)., - Recharge your Airtel, Vodafone, Idea, Reliance, Tata Docomo, Aircel, BSNL, MTS & MTNL connections., - Pay utility bills such as Reliance Energy, BSES, NDPL, BEST, MSEB, Torent, Mahanagar Gas, Indraprastha Gas, Gujarat Gas., - Pay Postpaid bills for Airtel, Vodafone, Idea, Reliance, Aircel, MTNL., - Recharge your Tata Sky, Dish TV, Airtel, Videocon, Sun.,: Recharge Tata Sky connection by scanning QR code from your TV with mVISA., - Recharge your Tata Photon, MTS, Reliance Net Connect., - Book movie tickets of INOX, Big Cinemas, Fun Cinemas and many more., - Purchase online and physical gift vouchers of top brands such as - Flipkart, Bookmyshow, Dominos, Café Cofee Day., - Get a Pockets Savings Account by applying from within the app., - iWish is a flexible Recurring Deposit that lets you save for your goals as and when you have the funds and earn better interest rates just like a Fixed Deposit. You can also create regular FD/RDs., – Get a debit card which allows you to withdraw cash from ATMs., - A bundle of specially chosen deals are available right inside the app., - With chat built into the app, support is just a tap away. You can also always call us or email us."
31 August 2016, 14M  , 1.0  ,Axis Pay,3.9," 100,000 - 500,000 ",     4.1 and up   ,"retrieve running apps,find accounts on the device,find accounts on the device,precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages
edit your text messages (SMS or MMS),read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
run at startup
use accounts on the device
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.axisbank.com&sa=D&usg=AFQjCNHmR5TUIExTcJYb9B44ZLCHZQqPoA,mailto:internet.banking@axisbank.com,https://www.google.com/url?q=http://www.axisbank.com/privacy-policy.aspx&sa=D&usg=AFQjCNEGaDE8WAGLknIGDqPaSANdI6T4eA","2,140",Axis Bank Ltd.,"A Virtual Payment Address (VPA) is a unique identifier that you set and link to your bank account. (Example: yourname@axisbank ) ,Once linked, just quote your VPA instead of account number and IFSC to make or receive payments.,Unified Payments Interface (UPI) is payment system by NPCI that allows transfer of funds between accounts in convenient manner.,Features:,•	Axis Bank or Non Axis Bank customers can send money or ask for money using the Axis Pay app, without knowing their bank account details ,•	Transfer funds to a Virtual Payment Address(VPA) or to an Account Number ,•	Add beneficiary instantly by just using Virtual Payment Address (VPA). No need to remember or enter the bank account number and IFSC,•	Check balance of linked bank accounts ,•	Fund transfers are instant, 24*7, 365 days and absolutely free of cost and take place in a completely safe and secure way,Go ahead and download Axis Pay, Axis Bank's UPI application to experience the unique way of making payments using a Virtual Payment Address(VPA)."
8 August 2016, 12M  , 5.1.0  ,State Bank Anywhere,4.3," 5,000,000 - 10,000,000 ",     2.2 and up   ,"read your contacts,read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,view Wi-Fi connections,read phone status and identity,receive data from Internet
view network connections
full network access
control vibration
prevent device from sleeping","https://www.google.com/url?q=http://www.sbi.co.in&sa=D&usg=AFQjCNGSu33IUIZx9LnRWqos7YHtpiEF7g,mailto:feedback.statebankanywhere@sbi.co.in,https://www.google.com/url?q=https://www.onlinesbi.com/personal/privacy_statement.html&sa=D&usg=AFQjCNH03zTVVDjrZa9dLlCJBZIOhHpSdg","173,526",State Bank of India," is State Bank of India’s retail internet banking based application for your smartphones. A safe, convenient and easy to use application with a host of features to help users manage your finances on the move. Download from Google Play store Only. Do not use any other websites for downloading this application.,    • Show case overview of 4 account variant (Transaction / Deposit /Loan / PPF),    • Selection of account number ,    • Detailed account information,    • Mini Statement (Last 10 transactions), , ,Funds Transfer (Own A/c),Intra-Bank (Within SBI) Transfer,Inter-Bank (Other Bank) Transfer (RTGS/NEFT/State Bank Group Transfer),Quick Transfer using QR Code to Beneficiaries without registration,Credit Card (VISA) Transfer,IMPS Transfer (Person to Person/Person to Account),Fixed Deposit,Recurring Deposit ,Aadhaar /LPG Seeding to A/c Number for DBT,Cheque Book Request,Call Us,    • With Bill,    • Without Bill,    • View Biller,    • Scheduled Bill,    • Mobile Top-up,    • DTH Recharge,    • Transaction Enquiry ,   • A smart phone with Android Operating System (OS 2.3 or above).,   • Internet connectivity like GPRS/EDGE/3G/Wi-Fi.,   • Existing SBI Retail (personal) Internet Banking Username and Password with Transaction Rights.,   • Currently this app supports only State Bank of India Retail Internet Banking customers. Associate Banks’ internet banking users will not be able to use this app.,, please log into , and click ,. From the dropdown, select , and choose sub category as ,. Your ticket would be responded by our customer support team to your satisfaction. Please check the status of the ticket by logging into ,.,, kindly email us at "
9 August 2016, 6.8M  , 1.35  ,State Bank Buddy,3.8," 1,000,000 - 5,000,000 ",     3.0 and up   ,"read your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS),directly call phone numbers
read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,read phone status and identity,receive data from Internet
view network connections
full network access
prevent device from sleeping","https://www.google.com/url?q=http://www.sbi.co.in&sa=D&usg=AFQjCNGSu33IUIZx9LnRWqos7YHtpiEF7g,mailto:contactcentre@sbi.co.in,https://www.google.com/url?q=https://www.onlinesbi.com/sbijava/Privacy_Statement.html&sa=D&usg=AFQjCNFP51A0EZIlJ4Fh0I41ldPFdF1Dvw","30,858",State Bank of India,"How does State Bank Buddy work?,•	First time users Sign Up by swiping to the right,•	Load money into your wallet ,•	Transfer money with your contacts on phonebook,•	Recharge your mobile/DTH and pay bills ,•	Shop online and book movies, flights and hotels,•	Transfer money instantly to your bank account,•	24*7 customer support: Write to us at customercentre@sbi.co.in,All you need:,•	A Non-Rooted Android phone,•	Access to Internet data services either through wireless facility or 4G/3G/GPRS/Edge,•	Smooth functioning of application subjected to the reception quality of your data plan"
22 September 2016, 11M  , Earth-1.3.8  ,Money View Money Manager,4.3," 5,000,000 - 10,000,000 ",     4.0 and up   ,"find accounts on the device,find accounts on the device
read your contacts
modify your contacts,approximate location (network-based)
precise location (GPS and network-based),read your text messages (SMS or MMS)
receive text messages (SMS)
send SMS messages,read phone status and identity,read the contents of your USB storage
modify or delete the contents of your USB storage,read the contents of your USB storage
modify or delete the contents of your USB storage,take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,read sync statistics
receive data from Internet
view network connections
create accounts and set passwords
full network access
run at startup
prevent device from sleeping
toggle sync on and off","https://www.google.com/url?q=http://www.moneyview.in&sa=D&usg=AFQjCNHXUFp6XyK1UDimhBED9vo4qYaNYA,mailto:feedback@moneyview.in,https://www.google.com/url?q=http://moneyview.in/privacy-policy.html&sa=D&usg=AFQjCNErGPxawZwstFQ5GilvULd-JpMBYA","85,503",WhizDM,"Awarded the Best App @ 'Google for Mobile Apps for 2015', Money View money manager is trusted by over 5 million users and is the Best, Most Downloaded Money Manager app in India!,◉ ,● , Lay back and relax while Money View’s daily expense manager securely tracks your bank SMSes and tells you where and how you spend your money. With the daily expense manager, you can analyse your spends using graphs and charts.,● , Once you’ve got information from the daily expense manager, set stretch goals for yourself by using the budget planner. Recording and analysing your daily expenses makes you three times more likely to save as compared to those who don’t.,● , Get a bird’s eye view of all your bank accounts/ debit cards/ credit cards on one screen. No need to log into every bank account or browse individual SMSes separately. Our daily expenses manager syncs right in to keep you updated. The app even tracks money transfer to other bank.,● , Create groups and split trip expenses, restaurant bills, household expenses and more - it is the perfect companion to your daily expense manager. Money View tallies up all the expenses and gives you a net figure to settle outstandings with your friends.,● , What’s a daily expense manager that doesn’t remind you when your bill is due. Never pay a late payment charge again. Pay your bill from within the app, using our simple bill pay process.,● , Click a photo of your bill, enter bill details and claim your bills with ease. Now claiming office reimbursements is easier than ever. ,● , Money View is your personal finance manager. We’ve done all the hard work associated with researching on the right funds to invest in. On the basis of this research, we’ve very carefully chosen two products for you to invest in. Use Money View Money Manager's Green Account to multiply your earnings and save on income tax. In association with ICICI Prudential Mutual Fund, we offer you the following Green Account investment options:,▪︎ , offers high returns and high liquidity, so you can invest and withdraw your money anytime without any penalties whatsoever. Invest as little as Rs. 500 and see it grow.,▪︎ With ,, you can save up to Rs. 46,500* in taxes by investing in an ELSS Scheme.,◉ "
8 July 2016, 3.9M  , 4.0.9  ,Andhra Bank,3.8," 100,000 - 500,000 ",     1.6 and up   ,full network access,"https://www.google.com/url?q=http://mobile.fssnet.co.in/mpayweb/&sa=D&usg=AFQjCNGr37FL1bQI5oHBzgxtELMhzGWm2Q,mailto:fssnetmpay@gmail.com","5,687",ANDHRA BANK,"	Simplified Activation flow,	Improved look and feel & Better user experience,	User friendly interface with touch screen UI support,	Secure way of transacting banking business,	Balance Inquiry (With combined Available Balance),	Mini Statement (Last 9 transactions with available balance),	Immediate Payment Service (IMPS) & Within Bank Fund Transfers,	Quick Fund Transfer Without Adding Payee,	Bill Payment and Donations,	Mobile/DTH/Data Card Recharge ,	Cheque Status Inquiry & Stop Cheque Services,	Branch & ATM Locators,	Offline Service Requests,	No restriction on number of transactions. Cumulative maximum in a day is Rs.50000/-,	And many more.....,Get your mPIN &  Activate Your Mobile Banking Services Today !!!!,Register Through your preferred Channel,	Application – Download , Register & Activate ,	ATM - Our bank ATM Or other Bank ATMs(Selected Banks),	Branch – Any Andhra Bank Branch,	NetBanking – Registered Net Banking Customers.,(Note: If you are entering the wrong password more than 3 times, your application will be blocked),For more details please visit http://www.andhrabank.in/English/MobileBanking.aspx"
17 December 2015, 3.1M  , 1.4.2  ,IDBI Bank GO Mobile,3.5," 500,000 - 1,000,000 ",     4.0 and up   ,"retrieve running apps,approximate location (network-based)
precise location (GPS and network-based),view network connections
full network access
modify system settings
read Google service configuration","https://www.google.com/url?q=http://www.idbi.com&sa=D&usg=AFQjCNHJzOhaJ3HJV8FGXG4ZTpjqUE4raQ,mailto:customercare@idbi.co.in","9,467",IDBI BANK,"Before activating the Mobile Banking App, please ensure to first register for the mobile banking channel, by either submitting a channel registration form at the Branch or by opting for the service through your Internet Banking account.,A user can view their account statements on the go at their convenience, even while work or commuting. Checking the balance in your account, managing and scheduling utility bill payments, adding a top-up in your prepaid mobile phone or DTH account, paying VISA credit card bills, or instantly transferring money from one bank account to another through IMPS (Immediate Payment Service) is now possible at the click of just a few buttons on your phone.,Banking through the Mobile App not only saves you time or a visit to the Bank, but also reduces the risk of fraud.  Every transaction or beneficiary addition requires a dynamic OTP (one- time- password) authentication.  A user will also get an SMS alert whenever a transaction is initiated in your account, through any alternate banking channel like ATM, Point of Sale (POS), Internet or Mobile Banking. ,The following Key services can be now be easily accessed from your mobile handset:,•	Account Balance Enquiry.,•	Account Statement Enquiries.,•	Cheque Status Enquiry / Stop Payment. ,•	Cheque Book Requests.,•	Fund Transfer between Accounts within the Bank and to other Banks (NEFT). ,•	Instant Funds Remittance through IMPS ( Immediate Payment Service).,•	Utility Bill Payments. ,•	Mobile and DTH Recharge.,Security:,We take every step to keep the account safe and secure when banking on the mobile device. IDBI Bank uses sophisticated encryption technology for secure data transfer from your mobile phone to the Bank’s mobile banking server. The MPIN created by the user, is securely encrypted on the mobile handset itself ad MPIN does not travel over the air. No account information or any other account sensitive credentials is stored on your mobile phone, making it completely safe and secure."
